BASE_YEAR,BOAT_NO,PRACE_NCNT,N1CK_NCNT,N2CK_NCNT,N3CK_NCNT,AVRG_CKSN_SCORE_VALUE,YUNDAE_RT,BEST_SAIL_TIME_VALUE,N2JU_BEST_TIME_VALUE,N3JU_BEST_TIME_VALUE
2023,B2018043,188,28,33,36,5.15,32.4,01:14.3,01:14.3,01:51.8
2023,B2020057,118,7,19,20,4.25,22,01:13.9,01:13.9,:.
2023,B2020058,111,10,15,13,3.96,22.5,01:13.6,01:13.6,:.
2023,B2020063,168,20,26,35,4.89,27.4,01:13.3,01:13.3,:.
2023,B2020064,180,30,29,37,5.21,32.8,01:12.9,01:12.9,:.
2023,B2020065,67,13,12,9,5.13,37.3,01:12.6,01:12.6,:.
2023,B2020072,173,44,16,28,5.43,34.7,01:12.7,01:12.7,:.
2023,B2020073,137,5,27,22,4.25,23.4,01:14.7,01:14.7,:.
2023,B2020074,176,33,31,31,5.37,36.4,01:12.8,01:12.8,:.
2023,B2020075,130,34,24,23,6.07,44.6,01:12.3,01:12.3,:.
2023,B2020076,87,24,17,10,6.15,47.1,01:12.4,01:12.4,:.
2023,B2020077,149,20,28,26,5.06,32.2,01:12.8,01:12.8,:.
2023,B2016049,159,36,37,22,5.89,45.9,01:16.1,01:16.1,01:55.7
2023,B2016050,155,17,29,28,4.88,29.7,01:15.7,01:15.7,01:58.4
2023,B2016051,116,19,18,21,5.09,31.9,01:15.8,01:15.8,01:54.8
2023,B2016052,205,38,34,46,5.68,35.1,01:15.0,01:15.0,01:58.4
2023,B2016053,168,19,27,29,4.68,27.4,01:16.1,01:16.1,01:53.8
2023,B2016054,190,20,30,29,4.58,26.3,01:16.2,01:16.2,02:02.0
2023,B2016055,208,48,43,29,5.87,43.8,01:15.0,01:15.0,01:52.2
2023,B2016056,199,39,32,32,5.4,35.7,01:14.9,01:14.9,02:03.9
2023,B2016057,183,24,35,25,4.82,32.2,01:15.7,01:15.7,01:55.8
2023,B2016058,199,34,31,40,5.28,32.7,01:15.7,01:15.7,01:55.2
2023,B2016059,140,32,26,24,5.84,41.4,01:13.6,01:13.6,01:57.8
2023,B2016060,216,36,33,35,5,31.9,01:15.2,01:15.2,01:57.9
2023,B2016061,203,28,43,25,4.97,35,01:14.8,01:14.8,01:57.2
2023,B2016062,208,42,31,43,5.5,35.1,01:14.0,01:14.0,01:56.1
2023,B2016063,149,8,19,32,4.14,18.1,01:16.5,01:16.5,01:56.4
2023,B2016064,80,8,17,17,4.98,31.3,01:16.2,01:16.2,01:54.3
2023,B2016065,199,26,29,39,4.84,27.6,01:15.3,01:15.3,01:55.9
2023,B2016066,161,29,18,30,4.93,29.2,01:15.2,01:15.2,01:57.7
2023,B2016067,173,24,35,20,4.99,34.1,01:15.2,01:15.2,01:58.4
2023,B2016042,83,16,14,14,5.43,36.1,01:15.6,01:15.6,01:53.3
2023,B2016043,199,42,24,34,5.31,33.2,01:15.7,01:15.7,02:01.5
2023,B2016044,89,12,15,17,5.04,30.3,01:15.3,01:15.3,01:55.9
