RACE_YEAR,TME_VALUE,DAY_ORD_VALUE,RACE_NO,N1R_PLAYER_NM,N2R_PLAYER_NM,N3R_PLAYER_NM,DANSEONG_VALUE,YNGSEONG_ONE_VALUE,YNGSEONG_TWO_VALUE,SSANGSEONG_VALUE,BOKSEONG_VALUE,SAMBOKSEONG_VALUE,SAMSSANGSEONG_DVDN_RT,SSANBOKSEONG_DVDN_RT
2022,35,1,6,⑤조성인,③서화모,⑥김민천,⑤1.9,⑤1.3,③1.8,⑤-③4.6,⑤-③2.6,⑤-③-⑥4.6,⑤-③-⑥12.6,⑤-③7.6
2022,35,1,7,④김효년,⑥권현기,③조승민,④1.3,④1.1,⑥6.6,④-⑥8.5,④-⑥8.9,④-⑥-③18.5,④-⑥-③53.8,④-⑥24.4
2022,35,1,8,⑤김국흠,②이동준,①박진서,⑤15.6,⑤2,②1.2,⑤-②21.1,⑤-②4.6,⑤-②-①4,⑤-②-①70.3,⑤-②41.7
2022,35,1,9,③김종민,⑤이태희,①윤영일,③1.7,③1.1,⑤1.8,③-⑤3.2,③-⑤2.3,③-⑤-①5.2,③-⑤-①11.7,③-⑤7.8
2022,35,1,10,④정용진,①손지영,③김민준,④14.5,④3.3,①1.5,④-①36.4,④-①7.8,④-①-③6.4,④-①-③114.3,④-①72.5
2022,35,1,11,①손근성,⑤류석현,⑥민영건,①1.8,①1.2,⑤1.4,①-⑤2.7,①-⑤1.7,①-⑤-⑥5.4,①-⑤-⑥12.3,①-⑤9.4
2022,35,1,12,⑤김지영,②권일혁,⑥권명호,⑤1.6,⑤1.6,②1.5,⑤-②6.2,⑤-②3,⑤-②-⑥4.7,⑤-②-⑥14,⑤-②8.1
2022,35,1,13,⑤이용세,①강영길,④정민수,⑤7.8,⑤2.2,①2.6,⑤-①35.6,⑤-①14.8,⑤-①-④3.5,⑤-①-④63.4,⑤-①33.3
2022,35,1,14,①서  휘,③김효년,⑤양원준,①2.3,①1.6,③1.2,①-③3.8,①-③1.8,①-③-⑤2.5,①-③-⑤8.6,①-③5
2022,35,1,15,③조성인,①손유정,⑤길현태,③1.1,③1,①2.5,③-①2.6,③-①1.9,③-①-⑤2.5,③-①-⑤5.3,③-①2.9
2022,35,1,16,③어선규,⑤이동준,①김민천,③1.4,③1,⑤2,③-⑤3.5,③-⑤3.4,③-⑤-①1.5,③-⑤-①5,③-⑤1.9
2022,35,1,17,⑤손지영,①한성근,③반혜진,⑤1.2,⑤1.4,①6.8,⑤-①14,⑤-①10.3,⑤-①-③10.5,⑤-①-③53.1,⑤-①16.1
2022,35,2,1,①최인원,③박진서,④송효석,①4.7,①2,③3.7,①-③22.8,①-③15.6,①-③-④13.8,①-③-④59,①-③27.5
2022,35,2,2,④문주엽,③정용진,⑥전두식,④2.8,④1.5,③1.2,④-③4.9,④-③1.5,④-③-⑥4,④-③-⑥17.5,④-③12.5
2022,35,2,3,④김국흠,⑤김민천,①김보경,④2.2,④1.4,⑤1.9,④-⑤9.4,④-⑤5.7,④-⑤-①2.9,④-⑤-①16.2,④-⑤7.5
2022,35,2,4,③손지영,⑤최광성,①김태규,③2,③1.4,⑤3.5,③-⑤11.9,③-⑤9.6,③-⑤-①7.5,③-⑤-①47.6,③-⑤20.6
2022,35,2,5,②어선규,①권현기,⑥김정구,②1.2,②1,①3.9,②-①7.4,②-①5.9,②-①-⑥18.7,②-①-⑥45.7,②-①24
2022,35,2,6,②이용세,④나종호,⑤김희용,②1.4,②1,④2.3,②-④2.4,②-④1.9,②-④-⑤1.9,②-④-⑤3.9,②-④2.4
2022,35,2,7,①양원준,②정민수,⑤한성근,①1.7,①1.4,②1.1,①-②3.2,①-②1.6,①-②-⑤2.1,①-②-⑤7.7,①-②5.4
2022,35,2,8,②조승민,⑥김민준,④길현태,②12.4,②3.3,⑥1.7,②-⑥33.1,②-⑥14.5,②-⑥-④13.7,②-⑥-④191.3,②-⑥62.4
2022,35,2,9,⑤정용진,①송효석,⑥김종희,⑤12.1,⑤2.8,①1.4,⑤-①20.8,⑤-①9.5,⑤-①-⑥44,⑤-①-⑥222.7,⑤-①112.6
2022,35,2,10,⑤김효년,②문주엽,⑥박진서,⑤6.3,⑤2.7,②1.4,⑤-②18.3,⑤-②6.6,⑤-②-⑥24,⑤-②-⑥110.7,⑤-②78.6
2022,35,2,11,⑥이동준,④이상문,②김명진,⑥12.5,⑥3.5,④2.4,⑥-④48.8,⑥-④23.4,⑥-④-②87.6,⑥-④-②577.9,⑥-④372
2022,35,2,12,①최영재,⑤어선규,②강영길,①3.5,①2.3,⑤1.6,①-⑤9.3,①-⑤3.3,①-⑤-②3.8,①-⑤-②27.4,①-⑤13.6
2022,35,2,13,⑥윤영일,⑤김보경,①권일혁,⑥87.7,⑥26.7,⑤13.6,⑥-⑤884.6,⑥-⑤163,⑥-⑤-①241.2,⑥-⑤-①3004.8,⑥-⑤3001
2022,35,2,14,①조성인,④박정아,②이태희,①1.2,①1.1,④3.5,①-④7,①-④5.8,①-④-②2.4,①-④-②11.9,①-④2.6
2022,35,2,15,①최광성,②나종호,⑥정민수,①1.8,①1.1,②1.7,①-②3.2,①-②2.7,①-②-⑥3,①-②-⑥7.4,①-②4.2
2022,35,2,16,②한종석,③김동경,④윤상선,②1.1,②1.1,③1.6,②-③1.7,②-③1.6,②-③-④4.4,②-③-④6.9,②-③4.8
2022,35,2,17,①김민준,④권혁민,②김정구,①3.5,①1.6,④2.9,①-④27.3,①-④17.4,①-④-②2.9,①-④-②66.9,①-④10.8
2022,36,1,1,①이  인,②김재윤,⑥윤동오,①1.8,①1.4,②1.6,①-②6.5,①-②5.1,①-②-⑥22.8,①-②-⑥81.1,①-②46.3
2022,36,1,2,③이택근,⑤김기한,④원용관,③1.4,③1.4,⑤8.8,③-⑤17,③-⑤16.2,③-⑤-④19.3,③-⑤-④91.7,③-⑤29.8
2022,36,1,3,③길현태,①이지수,⑥정인교,③3.6,③1.8,①1.1,③-①8.8,③-①3,③-①-⑥10,③-①-⑥42,③-①26.4
2022,36,1,4,④이휘동,①김경일,③이종인,④6.1,④2.7,①1.9,④-①20.8,④-①8.3,④-①-③7.9,④-①-③72,④-①59.2
2022,36,1,5,①정용진,②서종원,③최재원,①1.4,①1.4,②3.2,①-②16.6,①-②10.7,①-②-③11.7,①-②-③53.9,①-②18.4
2022,36,1,6,①이동준,③한준희,⑥김도휘,①1.2,①1.2,③5.2,①-③9.5,①-③8.6,①-③-⑥10.8,①-③-⑥23.8,①-③13
2022,36,1,7,①이주영,③주은석,⑤한  진,①2.6,①1.4,③1.3,①-③4.6,①-③2.2,①-③-⑤1.7,①-③-⑤8.7,①-③5.8
2022,36,1,8,①김응선,③문안나,⑥손지영,①1.5,①1.2,③2.9,①-③7.1,①-③5.4,①-③-⑥9.9,①-③-⑥20.5,①-③13.4
2022,36,1,9,②이승일,①조규태,④윤영근,②1.4,②1.1,①2.2,②-①4.1,②-①2.8,②-①-④10.1,②-①-④19.6,②-①12.9
2022,36,1,10,⑤김재윤,①김채현,④길현태,⑤24.8,⑤4.8,①2.1,⑤-①177.7,⑤-①46.2,⑤-①-④48.5,⑤-①-④662,⑤-①404.3
